time,wx,wy,wz
2020-12-08 8:56:56.2370,-0.28,-0.29,-1.29
2020-12-08 8:56:56.2410,-0.28,-0.29,-1.29
2020-12-08 8:56:56.2580,0.65,-0.28,-0.99
2020-12-08 8:56:56.2590,0.65,-0.28,-0.99
2020-12-08 8:56:56.2770,1.31,-0.98,-0.42
2020-12-08 8:56:56.2800,1.31,-0.98,-0.42
2020-12-08 8:56:56.2970,0.68,-2.41,-0.46
2020-12-08 8:56:56.3010,0.68,-2.41,-0.46
2020-12-08 8:56:56.3280,-0.17,-2.92,-0.18
2020-12-08 8:56:56.3280,-0.17,-2.92,-0.18
2020-12-08 8:56:56.3370,-0.59,-1.93,0.16
2020-12-08 8:56:56.3400,-0.59,-1.93,0.16
2020-12-08 8:56:56.3580,-0.86,0.07,0.21
2020-12-08 8:56:56.3620,-0.86,0.07,0.21
2020-12-08 8:56:56.3780,-1.05,1.17,0.04
2020-12-08 8:56:56.3810,-1.05,1.17,0.04
2020-12-08 8:56:56.3970,-0.59,0.8,-0.11
2020-12-08 8:56:56.4010,-0.59,0.8,-0.11
2020-12-08 8:56:56.4270,0.56,-0.15,-0.13
2020-12-08 8:56:56.4270,0.56,-0.15,-0.13
2020-12-08 8:56:56.4370,1.52,-0.85,-0.11
2020-12-08 8:56:56.4400,1.52,-0.85,-0.11
2020-12-08 8:56:56.4580,1.63,-1.03,-0.25
2020-12-08 8:56:56.4640,1.63,-1.03,-0.25
2020-12-08 8:56:56.4780,0.95,-0.77,-0.5
2020-12-08 8:56:56.4820,0.95,-0.77,-0.5
2020-12-08 8:56:56.4970,0.49,-0.61,-0.68
2020-12-08 8:56:56.5020,0.05,-0.42,-0.9
2020-12-08 8:56:56.5270,-0.58,0.07,-1.24
2020-12-08 8:56:56.5270,-0.58,0.07,-1.24
2020-12-08 8:56:56.5370,-0.72,0.59,-1.27
2020-12-08 8:56:56.5410,-0.72,0.59,-1.27
2020-12-08 8:56:56.5580,-0.21,0.88,-1.07
2020-12-08 8:56:56.5640,-0.21,0.88,-1.07
2020-12-08 8:56:56.5780,0.44,0.72,-0.89
2020-12-08 8:56:56.5820,0.44,0.72,-0.89
2020-12-08 8:56:56.5980,0.62,0.52,-0.75
2020-12-08 8:56:56.6020,0.55,0.34,-0.57
2020-12-08 8:56:56.6290,-0.26,0.66,-0.43
2020-12-08 8:56:56.6290,-0.26,0.66,-0.43
2020-12-08 8:56:56.6380,-0.37,1.49,-0.24
2020-12-08 8:56:56.6410,-0.37,1.49,-0.24
2020-12-08 8:56:56.6580,0.56,1.33,0.36
2020-12-08 8:56:56.6620,0.56,1.33,0.36
2020-12-08 8:56:56.6780,1.05,-0.33,0.48
2020-12-08 8:56:56.6820,1.05,-0.33,0.48
2020-12-08 8:56:56.6980,0.6,-1.41,0.4
2020-12-08 8:56:56.7020,0.6,-1.41,0.4
2020-12-08 8:56:56.7280,-0.28,-0.88,0.65
2020-12-08 8:56:56.7290,-0.28,-0.88,0.65
2020-12-08 8:56:56.7380,-0.9,0.08,0.67
2020-12-08 8:56:56.7410,-0.9,0.08,0.67
2020-12-08 8:56:56.7580,-1.19,0.87,0.46
2020-12-08 8:56:56.7620,-1.19,0.87,0.46
2020-12-08 8:56:56.7780,-1.21,1.1,0.37
2020-12-08 8:56:56.7820,-1.21,1.1,0.37
2020-12-08 8:56:56.7980,-0.88,0.86,0.49
2020-12-08 8:56:56.8020,-0.88,0.86,0.49
2020-12-08 8:56:56.8250,-0.18,0.84,0.83
2020-12-08 8:56:56.8260,-0.18,0.84,0.83
2020-12-08 8:56:56.8380,0.38,0.53,0.71
2020-12-08 8:56:56.8410,0.38,0.53,0.71
2020-12-08 8:56:56.8580,0.58,0.07,0.46
2020-12-08 8:56:56.8620,0.58,0.07,0.46
2020-12-08 8:56:56.8770,0.43,-0.0,0.25
2020-12-08 8:56:56.8800,0.43,-0.0,0.25
2020-12-08 8:56:56.8980,0.13,0.59,0.18
2020-12-08 8:56:56.9020,0.13,0.59,0.18
2020-12-08 8:56:56.9240,-0.0,1.14,0.1
2020-12-08 8:56:56.9240,-0.0,1.14,0.1
2020-12-08 8:56:56.9380,0.09,1.04,0.07
2020-12-08 8:56:56.9400,0.09,1.04,0.07
2020-12-08 8:56:56.9580,0.44,0.62,0.21
2020-12-08 8:56:56.9620,0.44,0.62,0.21
2020-12-08 8:56:56.9780,0.71,0.2,0.5
2020-12-08 8:56:56.9820,0.71,0.2,0.5
2020-12-08 8:56:56.9980,0.42,-0.13,0.76
2020-12-08 8:56:57.0010,0.42,-0.13,0.76
2020-12-08 8:56:57.0240,-0.15,0.03,0.62
2020-12-08 8:56:57.0240,-0.15,0.03,0.62
2020-12-08 8:56:57.0380,-0.15,0.52,0.61
2020-12-08 8:56:57.0420,-0.15,0.52,0.61
2020-12-08 8:56:57.0580,0.23,1.13,0.96
2020-12-08 8:56:57.0640,0.23,1.13,0.96
2020-12-08 8:56:57.0780,0.69,0.69,1.03
2020-12-08 8:56:57.0820,0.69,0.69,1.03
2020-12-08 8:56:57.0980,0.85,-0.61,0.63
2020-12-08 8:56:57.1020,0.85,-0.61,0.63
2020-12-08 8:56:57.1280,0.54,-1.38,0.65
2020-12-08 8:56:57.1290,0.54,-1.38,0.65
2020-12-08 8:56:57.1380,-0.39,-0.52,1.09
2020-12-08 8:56:57.1410,-0.39,-0.52,1.09
2020-12-08 8:56:57.1580,-0.84,0.77,1.3
2020-12-08 8:56:57.1620,-0.84,0.77,1.3
2020-12-08 8:56:57.1780,-0.6,1.24,1.08
2020-12-08 8:56:57.1820,-0.6,1.24,1.08
2020-12-08 8:56:57.1980,-0.07,1.0,0.92
2020-12-08 8:56:57.2020,-0.07,1.0,0.92
2020-12-08 8:56:57.2240,0.39,1.02,1.14
2020-12-08 8:56:57.2240,0.39,1.02,1.14
2020-12-08 8:56:57.2380,0.87,1.33,1.32
2020-12-08 8:56:57.2410,0.87,1.33,1.32
2020-12-08 8:56:57.2580,1.17,1.34,1.22
2020-12-08 8:56:57.2640,1.17,1.34,1.22
2020-12-08 8:56:57.2780,1.06,1.04,0.82
2020-12-08 8:56:57.2820,1.06,1.04,0.82
2020-12-08 8:56:57.2980,0.66,0.98,0.43
2020-12-08 8:56:57.3020,0.66,0.98,0.43
2020-12-08 8:56:57.3280,0.06,1.5,0.16
2020-12-08 8:56:57.3280,0.06,1.5,0.16
2020-12-08 8:56:57.3380,-0.4,1.75,0.03
2020-12-08 8:56:57.3410,-0.4,1.75,0.03
2020-12-08 8:56:57.3570,-0.55,1.63,0.02
2020-12-08 8:56:57.3620,-0.59,1.42,0.06
2020-12-08 8:56:57.3780,-0.47,1.05,0.2
2020-12-08 8:56:57.3820,-0.47,1.05,0.2
2020-12-08 8:56:57.3980,-0.29,1.17,0.27
2020-12-08 8:56:57.4020,-0.29,1.17,0.27
2020-12-08 8:56:57.4230,-0.26,1.44,0.1
2020-12-08 8:56:57.4230,-0.26,1.44,0.1
2020-12-08 8:56:57.4380,0.1,1.58,0.13
2020-12-08 8:56:57.4410,0.1,1.58,0.13
2020-12-08 8:56:57.4580,0.62,1.42,0.32
2020-12-08 8:56:57.4640,1.17,1.02,0.5
2020-12-08 8:56:57.4780,1.36,-0.23,0.39
2020-12-08 8:56:57.4820,1.36,-0.23,0.39
2020-12-08 8:56:57.4980,0.38,-1.21,0.11
2020-12-08 8:56:57.5020,0.38,-1.21,0.11
2020-12-08 8:56:57.5240,-0.74,-0.81,0.49
2020-12-08 8:56:57.5250,-0.74,-0.81,0.49
2020-12-08 8:56:57.5380,-0.97,0.4,0.84
2020-12-08 8:56:57.5410,-0.97,0.4,0.84
2020-12-08 8:56:57.5580,-0.56,1.18,0.6
2020-12-08 8:56:57.5630,-0.56,1.18,0.6
2020-12-08 8:56:57.5780,-0.07,1.14,0.41
2020-12-08 8:56:57.5820,-0.07,1.14,0.41
2020-12-08 8:56:57.5980,0.35,0.9,0.61
2020-12-08 8:56:57.6020,0.35,0.9,0.61
2020-12-08 8:56:57.6230,0.66,1.07,0.96
2020-12-08 8:56:57.6240,0.66,1.07,0.96
2020-12-08 8:56:57.6380,0.85,1.07,1.1
2020-12-08 8:56:57.6420,0.99,0.88,1.16
2020-12-08 8:56:57.6590,1.1,0.2,1.12
2020-12-08 8:56:57.6650,1.1,0.2,1.12
2020-12-08 8:56:57.6780,0.93,-0.02,0.82
2020-12-08 8:56:57.6820,0.93,-0.02,0.82
2020-12-08 8:56:57.6980,0.58,0.8,0.45
2020-12-08 8:56:57.7020,0.58,0.8,0.45
2020-12-08 8:56:57.7230,0.35,1.34,0.18
2020-12-08 8:56:57.7230,0.35,1.34,0.18
2020-12-08 8:56:57.7380,0.42,1.24,0.03
2020-12-08 8:56:57.7420,0.42,1.24,0.03
2020-12-08 8:56:57.7590,0.62,1.18,-0.04
2020-12-08 8:56:57.7640,0.62,1.18,-0.04
2020-12-08 8:56:57.7780,0.74,1.08,0.13
2020-12-08 8:56:57.7820,0.74,1.08,0.13
2020-12-08 8:56:57.7980,0.78,0.79,0.28
2020-12-08 8:56:57.8020,0.78,0.79,0.28
2020-12-08 8:56:57.8270,0.86,0.17,0.35
2020-12-08 8:56:57.8280,0.86,0.17,0.35
2020-12-08 8:56:57.8380,0.84,-0.21,0.49
2020-12-08 8:56:57.8420,0.68,-0.52,0.69
2020-12-08 8:56:57.8590,0.41,-0.65,1.36
2020-12-08 8:56:57.8640,0.41,-0.65,1.36
2020-12-08 8:56:57.8780,-0.1,-0.55,1.29
2020-12-08 8:56:57.8820,-0.1,-0.55,1.29
2020-12-08 8:56:57.8980,-0.73,-0.31,0.89
2020-12-08 8:56:57.9020,-0.73,-0.31,0.89
2020-12-08 8:56:57.9220,-0.9,0.41,0.75
2020-12-08 8:56:57.9230,-0.9,0.41,0.75
2020-12-08 8:56:57.9390,-0.84,0.83,0.8
2020-12-08 8:56:57.9440,-0.74,1.13,0.97
2020-12-08 8:56:57.9580,-0.46,1.07,1.47
2020-12-08 8:56:57.9620,-0.46,1.07,1.47
2020-12-08 8:56:57.9780,0.2,0.24,1.81
